City,Country
Fukushimashi,JAPAN
Odawarashi,JAPAN
Jyoyoshi,JAPAN
Osakashi,JAPAN
Osakashi,JAPAN
Osakashi,JAPAN
Shizuokashi,JAPAN
Minatoku,JAPAN
Shibuyaku,JAPAN
Shimonosekishi,JAPAN
Lucerne,SWITZERLAND
Connecticut,UNITED STATES
Florida,UNITED STATES
Minnesota,UNITED STATES
New Jersey,UNITED STATES
Pennsylvania,UNITED STATES
Tennessee,UNITED STATES
Ontario,CANADA
South Dakota,UNITED STATES
上海市,CHINA
Manitoba,CANADA
Ontario,CANADA
Arizona,UNITED STATES
Colorado,UNITED STATES
Colorado,UNITED STATES
Delaware,UNITED STATES
Florida,UNITED STATES
Maryland,UNITED STATES
Minnesota,UNITED STATES
Ohio,UNITED STATES
Oregon,UNITED STATES
Tennessee,UNITED STATES
Texas,UNITED STATES
Texas,UNITED STATES
Texas,UNITED STATES
Virginia,UNITED STATES
Virginia,UNITED STATES
Virginia,UNITED STATES
North Carolina,UNITED STATES
Yaoundé,CAMEROON
Hôpital Fondation A. De Rothschild,FRANCE
Vermont,UNITED STATES
SP,BRAZIL
Flanders,BELGIUM
03080,REPUBLIC OF
Seoul,REPUBLIC OF
Suwon,REPUBLIC OF
UNKNOWN,UNKNOWN
South Carolina,UNITED STATES
Florida,UNITED STATES
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
Singapore,SINGAPORE
08308,REPUBLIC OF
14754,REPUBLIC OF
New York,UNITED STATES
Ramat Gan,ISRAEL
UNKNOWN,UNKNOWN
Quebec,CANADA
Principado de Asturias,SPAIN
Taoyuan,TAIWAN
Colorado,UNITED STATES
New York,UNITED STATES
A Coruña,SPAIN
Sao Paulo,BRAZIL
Hessen,GERMANY
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
Kent,UNITED KINGDOM
Washington,UNITED STATES
New Hampshire,UNITED STATES
Ontario,CANADA
Alberta,CANADA
Aarhus N,DENMARK
410-773,REPUBLIC OF
Seoul,REPUBLIC OF
Singapore,SINGAPORE
Berlin,GERMANY
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
Ghent,BELGIUM
Michigan,UNITED STATES
Ontario,CANADA
SP,BRAZIL
Ontario,CANADA
Ontario,CANADA
Ontario,CANADA
Aarhus,DENMARK
North Carolina,UNITED STATES
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
New York,UNITED STATES
Quebec,CANADA
New Jersey,UNITED STATES
Aalst,BELGIUM
Antwerpen,BELGIUM
Bonheiden,BELGIUM
Ghent,BELGIUM
Ghent,BELGIUM
Leuven,BELGIUM
Liège,BELGIUM
Wilrijk,BELGIUM
Catanzaro,ITALY
Quebec,CANADA
Tainan,TAIWAN
Ghent,BELGIUM
Michigan,UNITED STATES
Victoria,AUSTRALIA
Neuss,GERMANY
Pennsylvania,UNITED STATES
Angers,FRANCE
Bobigny,FRANCE
Bordeaux,FRANCE
Caen,FRANCE
Dijon,FRANCE
Grenoble,FRANCE
Limoges,FRANCE
Marseille,FRANCE
Nice,FRANCE
Paris,FRANCE
Perpignan,FRANCE
Rouen,FRANCE
Strasbourg,FRANCE
Toulouse,FRANCE
Vandoeuvre,FRANCE
Texas,UNITED STATES
Texas,UNITED STATES
British Columbia,CANADA
Ontario,CANADA
Ontario,CANADA
Ontario,CANADA
Ontario,CANADA
Quebec,CANADA
Quebec,CANADA
Quebec,CANADA
Prague,CZECHIA
UNKNOWN,UNKNOWN
Bad Krozingen,GERMANY
Hamburg,GERMANY
Hamburg,GERMANY
Bari,ITALY
Limburg,NETHERLANDS
North Brabant,NETHERLANDS
South Holland,NETHERLANDS
South Holland,NETHERLANDS
South Holland,NETHERLANDS
Zeeland,NETHERLANDS
Goiania,BRAZIL
Curitiba,BRAZIL
Rio de Janeiro,BRAZIL
Natal,BRAZIL
Sao Paulo,BRAZIL
Sao Paulo,BRAZIL
Sao Paulo,BRAZIL
Sao Paulo,BRAZIL
Sao Paulo,BRAZIL
Aarhus,DENMARK
Ontario,CANADA
Pennsylvania,UNITED STATES
Pennsylvania,UNITED STATES
Texas,UNITED STATES
Nijmegen,NETHERLANDS
Texas,UNITED STATES
Jaipur,INDIA
Kolkata,INDIA
Nagpur,INDIA
New Delhi,INDIA
B.C,CANADA
Ghent,BELGIUM
Michigan,UNITED STATES
Braunschweig,GERMANY
Bremen,GERMANY
Celle,GERMANY
Dresden,GERMANY
Erlangen,GERMANY
Essen,GERMANY
Goettingen,GERMANY
Hannover,GERMANY
Leipzig,GERMANY
Delaware,UNITED STATES
Gelderland,NETHERLANDS
Bengaluru,INDIA
Chandigarh,INDIA
Coimbatore,INDIA
Guwahati,INDIA
Hyderabad,INDIA
Mohali,INDIA
Pune,INDIA
Pune,INDIA
Surat,INDIA
Trivandrum,INDIA
Ahmedabad,INDIA
Bengaluru,INDIA
Bhubaneshwar,INDIA
Bhubaneswar,INDIA
Chandigarh,INDIA
Hyderabad,INDIA
Hyderabad,INDIA
Karnataka,INDIA
Kolkata,INDIA
Mumbai Naka,INDIA
Nagpur,INDIA
Nashik,INDIA
New Delhi,INDIA
Pondicherry,INDIA
Pune,INDIA
Pune,INDIA
Bangalore,INDIA
Bhubaneswar,INDIA
Chennai,INDIA
Hyderabad,INDIA
Kolkata,INDIA
New Delhi,INDIA
New Delhi,INDIA
New Delhi,INDIA
Pune,INDIA
Bangalore,INDIA
Chennai,INDIA
Kolkata,INDIA
Ahmedabad,INDIA
Bangalore,INDIA
Gurgaon,INDIA
Hyderabad,INDIA
Jaipur,INDIA
Kolkata,INDIA
New Delhi,INDIA
Pune,INDIA
Beijing,CHINA
Guangdong,CHINA
Hubei,CHINA
Jiangsu,CHINA
Jilin,CHINA
Shanxi,CHINA
Zhejiang,CHINA
Shanghai,CHINA
Ahmedabad,INDIA
Chandigarh,INDIA
Hyderabad,INDIA
Jaipur,INDIA
Karnataka,INDIA
Kolkata,INDIA
Kolkata,INDIA
Pondicherry,INDIA
Pune,INDIA
Pune,INDIA
California,UNITED STATES
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
California,UNITED STATES
Ontario,CANADA
UNKNOWN,UNKNOWN
medical school affiliated Third People's Hospital,CHINA
82,REPUBLIC OF
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
Beijing,CHINA
Beijing,CHINA
Shanghai,CHINA
Shanghai,CHINA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
Shang hai,CHINA
New Jersey,UNITED STATES
New Jersey,UNITED STATES
New Jersey,UNITED STATES
New York,UNITED STATES
New York,UNITED STATES
New York,UNITED STATES
New York,UNITED STATES
UNKNOWN,UNKNOWN
Almada,PORTUGAL
Lisbon,PORTUGAL
Porto,PORTUGAL
Vila Real,PORTUGAL
Asturias,SPAIN
Barcelona,SPAIN
Barcelona,SPAIN
Barcelona,SPAIN
Cantabria,SPAIN
Albacete,SPAIN
Barcelona,SPAIN
Barcelona,SPAIN
Lerida,SPAIN
New South Wales,AUSTRALIA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
Beijing,CHINA
